"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"790987339988250624","","","2016-10-25 18:44:12 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Midnight motorbike rides exploring Chiang Mai are great. No traffic! Then this tasty meal at a tiny streetside restaurant for about $0.85. https://t.co/XPkunjJY7w","","","","https://twitter.com/keithrbennett/status/790987339988250624/photo/1"
"789471794646306816","","","2016-10-21 14:21:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I asked about this a few months ago, but am wondering if there's any new information.","","","",""
"789471456493080576","","","2016-10-21 14:20:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Re: static blog site generators, I value actively maintained, well documented, ideally Ruby. Briefly looked at jekyll, octopress, middleman.","","","",""
"789470994930860032","","","2016-10-21 14:18:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WordPress stores much configuration in the DB. Harder to automate/manage. Looking at static blog site generators again. Recommendations?","","","",""
"787874566227894272","787653457540943872","97340565","2016-10-17 04:35:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@jlloganiii IMO, not in the short term, but my knowledge is limited. Need a &gt; bandwidth comm. medium than Twitter to discuss further.","","","",""
"787582750781939712","","","2016-10-16 09:15:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @elight: I often find myself reflecting on this list. ""5 Regrets Of The Dying"" #fb https://t.co/a8FvsumeL3","787374253968678912","3948061","2016-10-15 19:27:05 +0000","http://www.lifebuzz.com/5-regrets/,http://www.lifebuzz.com/5-regrets/"
"787195913345245185","","","2016-10-15 07:38:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thai TV playing old newsreels of the King. Starting to sink in how large a part of Thais' life he was; and for almost all, their whole life.","","","",""
"787181924548608000","","","2016-10-15 06:42:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","On health care pricing in the US: ""Ethically speaking, this is institutionalized fraud."" https://t.co/23FJP74IOO","","","","http://www.modernhealthcare.com/article/20161014/NEWS/161019940"
"787023708279873536","","","2016-10-14 20:14:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @jlloganiii: How to change where screenshots are saved on the Mac! https://t.co/Zso7ZHD5vc","786966342477963265","97340565","2016-10-14 16:26:11 +0000","http://www.idownloadblog.com/2014/06/15/how-to-change-where-screenshots-are-saved-on-mac/,http://www.idownloadblog.com/2014/06/15/how-to-change-where-screenshots-are-saved-on-mac/"
"786849141947195392","","","2016-10-14 08:40:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Swam today at the 700th Anniversary (of the city of Chiang Mai) 50m pool built for the 1995 Southeast Asian Games. https://t.co/EFskzuW8Mi","","","","https://twitter.com/keithrbennett/status/786849141947195392/photo/1"
